"b1","tree","RF.cat","P","depth","RF","path.dif"
0,41,2,0.49049596466723,0.230769230769231,2,0
0,41,4,0.266479693561748,0.307692307692308,4,0
0,41,7,0.393606492273127,0.461538461538462,9,0
0,41,15,0.196607731479743,0.769230769230769,29,0
0,41,100,0.260827941090021,0,0,0
0,42,0,0.205449399257542,0,0,0
0,42,1,0.220926948328382,0.133333333333333,1,0
0,42,2,0.333523875648158,0.2,3,0
0,42,4,0.248074571420356,0.266666666666667,4,0
0,42,7,0.321352070690526,0.333333333333333,7,0
0,42,15,0.171447437914345,0.933333333333333,64,0
0,42,100,0.480679484484964,0,0,0
0,43,0,0.00562831955903723,0,0,0
0,43,1,0.00558521561007141,0.133333333333333,1,0
0,43,2,0.00318369101478187,0.2,2,0
0,43,4,0.00691145153422373,0.333333333333333,5,0
0,43,7,0.00419170990645275,0.533333333333333,11,0
0,43,15,0.0138325545493675,0.866666666666667,25,0
0,43,100,0.0954901062675193,0,0,0
0,44,0,0.745653057777102,0,0,0
0,44,1,0.805794583393721,0.166666666666667,1,0
0,44,2,0.651361044000838,0.25,2,0
0,44,4,0.788986012343921,0.333333333333333,5,0
0,44,7,0.712438334536245,0.416666666666667,7,0
0,44,15,0.369705918088249,1,89,0
0,44,100,0.648002702656408,0,0,0
0,45,0,0.398147130325233,0,0,0
0,45,1,0.391156187994152,0.153846153846154,1,0
0,45,2,0.404596263810581,0.307692307692308,3,0
0,45,4,0.29865870618529,0.461538461538462,6,0
0,45,7,0.29679375730285,0.384615384615385,8,0
0,45,15,0.00640701772976663,0.615384615384615,26,0
0,45,100,0.0553634154552482,0,0,0
0,46,0,0.944147883570529,0,0,0
0,46,1,0.974281353025675,0.153846153846154,1,0
0,46,2,0.950513754966192,0.230769230769231,2,0
0,46,4,0.905289392275697,0.307692307692308,5,0
0,46,7,0.550181120328184,0.461538461538462,10,0
0,46,15,0.23146443192748,0.923076923076923,37,0
0,46,100,0.393222572948499,0,0,0
0,47,0,0.540673868702439,0,0,0
0,47,1,0.548346214617413,0.166666666666667,1,0
0,47,2,0.373235730754131,0.333333333333333,3,0
0,47,4,0.780774439014026,0.333333333333333,5,0
0,47,7,0.766732818806135,0.5,9,0
0,47,15,0.795761972446621,0.75,51,0
0,47,100,0.933534163255742,0,0,0
0,48,0,0.643683713481245,0,0,0
0,48,1,0.609768650280958,0.166666666666667,1,0
0,48,2,0.515416729432429,0.25,2,0
0,48,4,0.66170319889826,0.333333333333333,4,0
0,48,7,0.899515247774867,0.666666666666667,13,0
0,48,15,0.626064863791347,0.833333333333333,32,0
