ROUTE,STATION,LAT,LONG,WIND,GROUSE
34,6,583824,5088239,1.732050808,1
34,7,584621,5088237,1.61245155,1
35,1,587048,5096071,1.264911064,0
35,4,586269,5097661,0,1
35,5,585429,5097641,1.183215957,1
35,6,584886,5097429,1.732050808,0
35,7,584903,5096620,1.788854382,0
35,8,585129,5096055,0,1
36,1,572959,5094285,3.098386677,0
36,2,572160,5094289,2.828427125,0
36,3,571306,5094700,3.33166625,0
36,4,570540,5094578,4.049691346,0
36,5,570184,5093952,1.923538406,0
36,6,570315,5093299,2.167948339,0
36,7,570572,5092853,1.870828693,0
36,8,569975,5092783,1.923538406,0
37,1,573152,5095654,1.303840481,0
37,2,573143,5095030,2.19089023,0
37,3,573221,5094285,0,1
37,4,573981,5094146,1.414213562,1
37,5,574600,5094271,1.816590212,0
37,6,574947,5093949,2.529822128,1
37,7,575365,5094324,2.50998008,0
37,8,575795,5094799,3.098386677,1
38,1,581606,5103494,1.897366596,0
38,2,581573,5104301,3.240370349,0
38,3,581556,5105098,1.414213562,0
38,4,582074,5105669,1.549193338,0
38,5,582870,5105704,2.121320344,0
38,6,583147,5105189,2.664582519,1
38,7,582696,5104792,2.983286778,0
38,8,582388,5104070,2.966479395,0
39,1,605171,5129871,2.097617696,0
39,2,605182,5129024,1.264911064,0
39,3,605197,5128059,1.974841766,0
39,4,605073,5127349,1.549193338,1
39,5,604392,5127255,0,0
39,6,603602,5126870,1.923538406,0
39,7,603596,5127652,3.54964787,0
40,1,606688,5131754,2.792848009,0
40,2,605947,5131739,0,0
40,3,605099,5131717,2.683281573,0
40,4,605065,5132536,2.097617696,0
40,5,605077,5133303,2.701851217,0
40,6,605875,5133333,2.549509757,0
40,7,606305,5133744,2.213594362,0
40,8,606633,5134150,1.549193338,0
41,1,606568,5136461,3.376388603,0
41,2,606426,5135697,2.898275349,0
41,3,606596,5134956,2.846049894,0
41,4,607175,5134848,2.50998008,0
41,5,607959,5134961,2.664582519,0
41,6,608227,5135456,1.949358869,0
41,7,608192,5136301,1.483239697,0
41,8,608162,5137145,1.923538406,0
42,1,603386,5136610,3.563705936,0
42,2,604179,5136576,1.61245155,0
42,3,604980,5136544,2.93257566,0
42,4,604971,5137338,2.828427125,0
42,5,604959,5138113,3.178049716,0
42,6,604144,5138096,1.760681686,0
42,7,603366,5138082,3.619392214,0
